ID,DAM_NAME,STATE,AGENCY_CODE,longtitude,lattitude,feature_id,dataset,rts,max_sto,split
398,Bull Lake,Wyoming,BOR,-109.045417,43.212083,12898716,plrt,392.6877223,187628000,train
399,Pilot Butte,Wyoming,BOR,-108.760417,43.195527,,plrt,53.40306584,46212000,val
405,C.J. Strike,Idaho,,-115.972917,42.947917,120053987,gdrom,14.101,309110549.1,test
411,American Falls,Idaho,,-112.874583,42.782917,120052939,gdrom,74.43,2103996847,test
413,Minidoka,Idaho,BOR,-113.48375,42.66875,23171013,plrt,5.181031982,119476000,train
415,Alcova,Wyoming,BOR,-106.727083,42.543117,22103649,plrt,135.719937,234060000,train
416,Pathfinder Dike,Wyoming,BOR,-106.85375,42.464583,15975492,plrt,461.4489555,1348532847,train
419,Big Sandy Dike,Wyoming,BOR,-109.432917,42.25375,18300278,plrt,131.4861773,49757000,val
420,Eden Dike 1,Wyoming,BOR,-109.372287,42.238935,18300318,plrt,201.8301454,17127000,train
421,Seminoe,Wyoming,BOR,-106.907917,42.155417,167245825,plrt,508.2917264,1302017000,train
423,Fontenelle,Wyoming,BOR,-110.065625,42.028371,,plrt,98.06655591,454865485.7,train
431,Hyrum,Utah,BOR,-111.872083,41.624583,664014,plrt,64.12882038,19130000,train
437,Arthur V. Watkins,Utah,BOR,-112.130397,41.376955,,plrt,763.192539,250964000,val
438,Pineview,Utah,BOR ,-111.83875,41.25625,10273702,plrt,171.4388646,139415000,train
442,Lost Creek,Utah,BOR,-111.39875,41.187083,10089124,plrt,288.4349463,28095000,train
445,Meeks Cabin,Wyoming,BOR,-110.582083,41.025417,120051967,plrt,49.92149607,38805000,train
448,Bor Stateline Summit,Utah,BOR,-110.386982,40.987986,,plrt,67.85086073,17549000,val
449,Echo,Utah,BOR,-111.430417,40.965417,10091588,plrt,115.5325279,93701000,val
450,East Canyon,Utah,BOR,-111.599583,40.920417,10276260,plrt,385.1083499,61907000,train
451,Flaming Gorge,Utah,BOR,-109.420471,40.915665,,plrt,2236.443411,4827385566,train
456,Wanship,Utah,BOR,-111.40263,40.787922,10091800,plrt,114.2937931,1792236246,train
458,Smith and Morehouse Dam,Utah,BOR,-111.104034,40.76266,,plrt,106.9824031,10548720.96,val
460,NA,NA,NA,NA,NA,2897137,plrt,56.3698639,80512000,train
467,Bor Jordanelle,Utah,BOR,-111.422917,40.599261,,plrt,659.8475197,389808050,train
469,Red Fleet,Utah,BOR,-109.420236,40.577988,,plrt,240.4946702,32193000,train
470,Upper Bor Stillwater,Utah,BOR,-110.701662,40.561752,,plrt,83.55716941,39043000,train
471,Moon Lake,Utah,BOR,-110.48875,40.562083,11975087,plrt,93.81535281,45623000,train
473,Steinaker,Utah,BOR,-109.532917,40.512083,1392281,plrt,265.7385829,45198000,train
477,Deer Creek,Utah,BOR,-111.527917,40.407917,10375440,plrt,156.1857219,189329000,train
487,Shadow Mountain,Colorado,,-105.845417,40.212083,1233435,gdrom,44.104,22295184.26,test
488,Bor Starvation,Utah,BOR,-110.445417,40.19125,11965847,plrt,370.6368569,206814000,train
492,Granby,Colorado,BOR,-105.856013,40.139748,1233515,plrt,595.7839534,664800000,train
493,Soldier Creek,Utah,BOR,-111.028275,40.137146,11964599,plrt,10784.84112,1365984000,train
497,Williams Fork,Colorado,DENW,-106.205943,40.03395,1230577,plrt,265.9116013,120375000,train
500,Gross,Colorado,DENW,-105.357859,39.949456,2891036,plrt,108.4994255,51583000,val
502,Green Mountain,Colorado,BOR,-106.32875,39.877917,1311881,plrt,115.7970787,189433000,train
503,Mona,Utah,,-111.87125,39.875417,10329965,gdrom,232.693,19070862.73,test
505,Ralston,Colorado,DENW,-105.241537,39.832745,,plrt,56.64641626,13314000,train
506,Scofield,Utah,BOR,-111.12875,39.78875,3906255,plrt,224.8192685,74302000,val
508,Marston Lake North Dam,Colorado,DENW,-105.057908,39.624824,,plrt,151.3099428,24341000,train
509,Dillon,Colorado,DENW,-106.060416,39.61875,1312051,plrt,1138.175034,323421000,train
511,Chatfield Dam,Colorado,ACE_OMA,-105.05625,39.55497,188031,plrt,50.78041192,67938000,train
514,Lahontan,Nevada,,-119.06875,39.460352,11431851,gdrom,163.34,403841954.4,test
517,Ruedi,Colorado,BOR ,-106.815417,39.36625,1326659,plrt,615.4714274,128279000,val
518,Joes Valley,Utah,BOR,-111.274583,39.29125,4876219,plrt,216.0094642,80214000,val
522,Cheesman,Colorado,DENW,-105.273882,39.210039,190075,plrt,166.0624403,98497000,val
524,Marlette Lake Dam,Nevada,BOR_PN,-119.90502,39.173654,8942385,plrt,3042.559744,15024000,train
529,Antero,Colorado,DENW,-105.895655,38.989297,167246015,plrt,277.102109,29290000,train
530,Spinney Mountain,Colorado,AUR,-105.623608,38.97361,127819344,plrt,162.6252737,66793000,train
531,Paonia,Colorado,BOR,-107.350417,38.942917,1336910,plrt,22.02101113,20106000,train
533,Eleven Mile Canyon,Colorado,DENW,-105.478234,38.902254,5241028,plrt,412.0376584,128505000,train
536,Taylor Park,Colorado,BOR ,-106.602917,38.824583,1332558,plrt,452.0710307,133530377.4,train
537,Crawford,Colorado,BOR,-107.60625,38.689583,3251185,plrt,53.02607251,17513000,train
541,Blue Mesa,Colorado,BOR,-107.333611,38.45367,,plrt,859.6152987,1021422215,train
542,Morrow Point,Colorado,BOR,-107.53625,38.452917,3252989,plrt,153.3238469,146398040.8,train
545,Donnells,California,,-119.95875,38.332083,345487,gdrom,34.44,79930856.71,test
546,Bridgeport,California,,-119.212814,38.325225,8914219,gdrom,66.856,53459102.95,test
549,Silver Jack,Colorado,BOR,-107.540387,38.230238,,plrt,74.17490008,16707486.6,val
554,Cherry Valley,California,,-119.912083,37.97875,17080601,gdrom,215.761,338508121.8,test
557,O'Shaughnessy,California,,-119.787917,37.949583,17080669,gdrom,119.624,772696196.4,test
567,McPhee,Colorado,BOR,-108.571436,37.578215,,plrt,620.1002535,472607862,train
572,Jackson Gulch,Colorado,BOR,-108.273317,37.399487,,plrt,187.0250767,12361000,train
574,Lemon,Colorado,BOR,-107.662083,37.382917,17014523,plrt,166.3291673,49542218.47,train
575,Vallecito,Colorado,BOR,-107.57375,37.37875,17034145,plrt,334.2048799,156395100.1,train
585,Buchanan Dam,California,,-119.985417,37.220417,,gdrom,347.364,179422000.8,test
592,Hidden Dam,California,,-119.882917,37.112083,,gdrom,153.303,109236988.8,test
595,Friant,California,BOR,-119.70375,37.00375,120053836,plrt,73.44874068,648498000,val
597,Glen Canyon,Arizona,BOR,-111.48625,36.94125,3528295,plrt,2488.419386,31694515296,train
600,Pine Flat Dam,California,-119.324583,36.832917,,,gdrom,96.841,1232063965,test
601,Navajo,New Mexico,BOR,-107.60875,36.80375,120053831,plrt,1595.369729,2073036604,train
603,Heron,New Mexico,,-106.705417,36.66625,17843236,gdrom,614.384,423644271.9,test
604,El Vado Reservoir Dam,New Mexico,,-106.732917,36.595417,17843270,gdrom,108.107,227829029.8,test
605,Terminus Dam,California,,-119.00125,36.419583,120052624,gdrom,44.499,228863921,test
606,Abiquiu Dam,New Mexico,,-106.42875,36.237917,,gdrom,160.446,377291681.8,test
609,Success Dam,California,,-118.92125,36.062083,14930103,gdrom,66.637,114462180.8,test
610,Hoover,Nevada,BOR,-114.735006,36.018191,22071698,plrt,672.9142569,36885967731,train
612,Isabella Dam,California,,-118.482917,35.649583,22670080,gdrom,95.789,693801464.5,test
613,Cochiti,New Mexico,,-106.31875,35.620417,17833136,gdrom,22.646,162584007.8,test
614,Jemez Canyon Dam,New Mexico,,-106.549583,35.395417,,gdrom,0.078,4318413.48,test
616,Davis Bor,Arizona,BOR,-114.572791,35.20227,120052757,plrt,262.0735017,2713656000,train
623,Blue Ridge,Arizona,USGS,-111.186458,34.552889,21745307,plrt,139.1625615,239744473.7,val
629,Parker,Arizona,BOR,-114.138725,34.29867,120052758,plrt,125.6913025,16651980000,train
644,Bartlett,Arizona,,-111.629844,33.817207,20438850,gdrom,116.013,220299856.6,test
656,Coolidge,Arizona,,-110.522895,33.176265,21318615,gdrom,157.077,299735840.4,test
657,Elephant Butte Dike,New Mexico,BOR,-107.189583,33.157917,17724998,plrt,322.2282334,745203000,val
664,Caballo,New Mexico,,-107.295417,32.899583,3222367,gdrom,25.624,111950811.8,test
753,Garrison Dam,North Dakota,ACE_OMA,-101.432292,47.50613,21543470,plrt,1699.870957,29515942920,train
758,Winnibigoshish Dam,Minnesota,ACE_STP,-94.053087,47.428657,167122141,plrt,797.8717002,1042222000,train
767,Leech Lake Dam,Minnesota,,-94.223518,47.251782,4817675,gdrom,0.303,537057.9931,test
768,Pokegama Lake Dam,Minnesota,,-93.588285,47.251326,,gdrom,0.702,978026.292,test
774,Baldhill,North Dakota,,-98.079583,47.037083,120052979,gdrom,81.439,120755405.2,test
777,Pipestem Dam,North Dakota,BOR ,-98.751547,46.96493,120053541,plrt,61.90950152,154595000,train
780,Jamestown,North Dakota,BOR,-98.710417,46.932917,120053643,plrt,122.6998372,274555000,val
784,Dickinson,North Dakota,BOR,-102.828566,46.867223,16235047,plrt,150.0885072,14210000,train
789,Sandy Lake Dam and Lock,Minnesota,ACE_STP,-93.321528,46.783615,167120397,plrt,70.76168772,152834000,train
792,Pine River Dam,Minnesota,,-94.112083,46.670417,4620258,gdrom,154.86,139389738.7,test
798,Heart Butte Dike,North Dakota,BOR,-101.812083,46.59625,16237597,plrt,281.206687,177952000,train
806,Gull Lake,Minnesota,,-94.358021,46.414653,167122172,gdrom,112.878,92861446.84,test
836,Browns Valley Dike,Minnesota,DUKE,-96.639471,45.767747,,plrt,352.5917331,221986000,val
837,Shadehill Dike 1,South Dakota,BOR,-102.20375,45.752083,21861936,plrt,539.5162349,301460000,val
854,Highway 75 Dam,Minnesota,DUKE,-96.291375,45.23921,4083202,plrt,10.61803976,47055000,train
861,Lac Qui Parle Dam,Minnesota,,-95.874583,45.027917,,gdrom,19.994,194125082.4,test
868,Belle Fourche,South Dakota,BOR,-103.67875,44.737083,5451158,plrt,383.9347328,242740000,train
870,Oahe Dam,South Dakota,ACE_OMA,-100.39797,44.456316,19251179,plrt,1489.445774,28078938720,train
872,Keyhole,Wyoming,BOR,-104.78125,44.379972,10904095,plrt,2421.517938,236215000,train
882,Pactola,South Dakota,BOR ,-103.49125,44.074583,17532873,plrt,1090.995165,79246156.08,train
884,Big Bend Dam,South Dakota,ACE_OMA,-99.448646,44.039785,11546100,plrt,140.6184514,2256281616,train
885,Deerfield,South Dakota,BOR,-103.78625,44.02875,17532915,plrt,1107.88982,19929000,train
893,Angostura,South Dakota,BOR,-103.437083,43.342083,9554371,plrt,1091.1178,171159000,train
895,Gavins Point Dam,South Dakota,ACE_OMA,-97.483244,42.850337,11758154,plrt,30.97156789,595770840,val
898,Glendo,Wyoming,BOR,-104.95375,42.48125,167245982,plrt,214.3668767,914580000,train
903,Lake Alice 1,Nebraska,BOR ,-103.625454,41.992166,17508452,plrt,10.93021242,12985000,train
907,Coralville Dam,Iowa,,-91.532083,41.72875,17539821,gdrom,9.221,685014139.8,test
911,Red Rock Dam,Iowa,,-92.982345,41.369935,167121028,gdrom,17.489,2254431059,test
913,Kingsley,Nebraska,,-101.67338,41.214586,167794979,gdrom,484.619,2199544570,test
919,Branched Oak Dam,Nebraska,,-96.853979,40.970589,17404931,gdrom,298.646,40415032.49,test
920,Jeffrey Reg Dam,Nebraska,CNPPID,-100.403511,40.958721,7257343,plrt,1.903914947,8261000,train
924,Rathbun Dam,Iowa,,-92.881377,40.831517,120053324,gdrom,202.553,724797629.6,test
929,Johnson Lake Dam,Nebraska,CNPPID,-99.843679,40.677414,167247026,plrt,23.2630785,57585000,train
931,Elwood Dam,Nebraska,CNPPID,-99.853071,40.634268,7259399,plrt,488.488022,47051000,train
936,Enders,Nebraska,BOR,-101.51979,40.422802,19080361,plrt,568.5667103,45066000,train
938,Medicine Creek,Nebraska,BOR,-100.219447,40.378902,19063074,plrt,311.5367002,57412000,train
939,Red Willow,Nebraska,BOR,-100.666251,40.360837,19069455,plrt,886.7010996,49077000,train
947,Trenton,Nebraska,BOR,-101.065857,40.168713,19091673,plrt,614.5007482,94699000,train
948,Harlan County Dam,Nebraska,BOR,-99.21467,40.072869,19040443,plrt,748.649591,458003000,train
952,Lovewell,Kansas,BOR,-98.028963,39.886843,19016317,plrt,193.0858355,65338000,train
953,Norton,Kansas,BOR ,-99.93575,39.805524,167266511,plrt,1953.123661,49591000,train
955,Long Branch Dam,Missouri,,-92.517382,39.753459,4460822,gdrom,187.175,92069551.5,test
956,Kirwin,Kansas,BOR ,-99.127083,39.659702,7344817,plrt,1232.173152,136078000,val
957,Cherry Creek Dam,Colorado,ACE_OMA,-104.8599,39.646658,229217,plrt,407.54639,19314000,train
958,Bonny,Colorado,BOR,-102.174556,39.621971,11699074,plrt,1531.479349,57357000,train
961,Clarence Cannon Dam,Missouri,,-91.648475,39.526146,937110111,gdrom,133.267,1306243700,test
962,Glen Elder,Kansas,BOR,-98.318864,39.473081,120052972,plrt,1510.547366,277068000,train
963,Webster,Kansas,BOR,-99.424609,39.40559,5943595,plrt,1078.769493,80460000,train
964,Smithville Dam,Missouri,,-94.554967,39.398007,2529647,gdrom,393.405,283349280.9,test
965,Tuttle Creek Dam,Kansas,,-96.59375,39.260417,,gdrom,74.668,2896058088,test
967,Perry Dam,Kansas,,-95.432391,39.111675,746373,gdrom,173.112,903420601.8,test
968,Milford Dam,Kansas,,-96.899609,39.078243,167800866,gdrom,243.095,1660620566,test
969,Blue Springs Dam,Missouri,DUKE,-94.335427,39.014258,,plrt,156.8241037,28090000,train
974,Longview Dam,Missouri,DUKE,-94.465654,38.92201,,plrt,260.7562279,45751000,train
975,Clinton Dam,Kansas,,-95.331348,38.91875,3730511,gdrom,266.195,346638000.6,test
976,Cedar Bluff,Kansas,BOR,-99.72388,38.785402,18950909,plrt,10185.67095,239998000,val
978,Council Grove City Dam,Kansas,,-96.553129,38.676363,20927408,gdrom,199.166,178148081.7,test
980,Pomona Dam,Kansas,,-95.557488,38.653448,10114004,gdrom,183.295,250601571.5,test
981,Kanopolis Dam,Kansas,,-97.966322,38.609095,167266519,gdrom,143.239,477813737,test
982,Melvern Dam,Kansas,DUKE,-95.715718,38.51407,167267891,plrt,373.0508117,387018000,train
983,Marion Lake,Kansas,,-97.08315,38.370716,20917521,gdrom,597.003,177854513,test
987,Pueblo,Colorado,BOR,-104.727382,38.272917,,plrt,112.5900889,364475000,train
989,Harry S. Truman Dam,Missouri,DUKE,-93.40625,38.264873,,plrt,71.15706957,6193534000,train
991,John Redmond Lake,Kansas,,-95.764794,38.239796,167297255,gdrom,26.225,803445665.2,test
993,Bagnell Dam,Missouri,,-92.627083,38.20625,,gdrom,13.524,784428399,test
998,John Martin Reservoir,Colorado,,-102.939585,38.064582,,gdrom,173.695,562033928.5,test
1000,Pomme de Terre Dam,Missouri,,-93.321703,37.897187,7387259,gdrom,215.723,623678021.9,test
1001,El Dorado Lake,Kansas,DUKE,-96.813814,37.840623,20079044,plrt,602.3916408,288101000,train
1003,Toronto Lake,Kansas,DUKE,-95.921996,37.741526,20953830,plrt,26.88628628,281073000,train
1006,Stockton Dam,Missouri,DUKE,-93.76875,37.689583,167267899,plrt,410.5641659,1704771000,train
1007,Fall River Lake,Kansas,DUKE,-96.06875,37.649318,21514748,plrt,35.8618463,304446000,val
1014,Big Hill Lake,Kansas,,-95.464466,37.2693,21795481,gdrom,447.793,53214873.54,test
1016,Trinidad Lake,Colorado,,-104.552901,37.142426,936750,gdrom,149.759,89629724.42,test
1017,Clearwater Dam,Missouri,ACE_LIT,-90.774448,37.136323,7666880,plrt,21.15953019,505258077.6,val
1019,Wappapello Dam,Missouri,,-90.282917,36.932917,167166315,gdrom,35.185,935772363.5,test
1020,Copan Lake,Oklahoma,DUKE,-95.972917,36.886385,21783714,plrt,55.30022505,336557000,train
1021,Great Salt Plains Lake,Oklahoma,DUKE,-98.140473,36.747179,21000069,plrt,26.49841789,227000000,train
1023,Kaw Lake,Oklahoma,DUKE,-96.92875,36.70375,21038107,plrt,63.0365738,1764714000,val
1026,Table Rock Dam,Missouri,ACE_LIT,-93.311648,36.597936,120053569,plrt,325.5850289,4412978224,train
1027,Fort Supply Lake,Oklahoma,DUKE,-99.565839,36.550855,13811164,plrt,164.4976679,33499000,train
1028,Birch Lake,Oklahoma,DUKE,-96.161815,36.530647,846266,plrt,216.3228713,58418000,val
1029,Pensacola,Oklahoma,,-95.04125,36.470417,167299912,gdrom,80.277,2672115146,test
1032,Oologah Lake,Oklahoma,DUKE,-95.679583,36.424583,167299904,plrt,94.86598139,2176493000,train
1033,Beaver,Arkansas,ACE_LIT,-93.849583,36.424583,167299813,plrt,623.7889216,2494293917,train
1035,Eucha,Oklahoma,,-94.933731,36.375383,21770435,gdrom,98.845,107781643.2,test
1036,Bull Shoals,Arkansas,ACE_LIT,-92.574583,36.36625,167299818,plrt,265.5766528,6673287152,train
1037,Skiatook Lake,Oklahoma,,-96.09125,36.350417,941070128,gdrom,835.851,651823610.5,test
1042,Norfork,Arkansas,ACE_LIT,-92.237917,36.25375,120052259,plrt,349.6727692,2501491273,train
1044,Robert S. Kerr Dam,Oklahoma,,-95.18125,36.232917,21772239,gdrom,10.538,547335363.8,test
1048,Keystone Lake,Oklahoma,DUKE,-96.257917,36.15375,20971700,plrt,32.48676926,2313050000,train
1050,Canton Lake,Oklahoma,,-98.602083,36.085762,,gdrom,282.33,192038034.2,test
1051,Newt Graham Lock and Dam,Oklahoma,DUKE,-95.539797,36.059869,832544,plrt,1.917650456,36934000,train
1053,Fort Gibson Lake,Oklahoma,DUKE,-95.232917,35.870417,167299918,plrt,20.89750088,1584282000,train
1060,Tenkiller Lake,Oklahoma,,-95.037083,35.595417,402142,gdrom,185.479,1490462980,test
1067,Greers Ferry,Arkansas,ACE_LIT,-91.992917,35.520417,167299819,plrt,622.3034973,3465172192,train
1068,Overholser,Oklahoma,,-97.668076,35.487041,167300171,gdrom,33.542,23226463.05,test
1070,Conchas Dam,New Mexico,DUKE,-104.191262,35.40124,20052547,plrt,861.2730532,399659000,train
1075,Robert S. Kerr Lock and Dam,Oklahoma,DUKE,-94.778828,35.346223,167801029,plrt,6.148263718,713510000,train
1077,Eufaula Lake,Oklahoma,,-95.357917,35.307917,167801019,gdrom,183.178,4770880796,test
1078,Dardanelle Lock and Dam,Arkansas,DUKE,-93.172917,35.251912,7767759,plrt,5.228511425,628808000,train
1084,Blue Mountain,Arkansas,ACE_LIT,-93.651042,35.102957,7801259,plrt,38.62804215,408854708.1,val
1086,Santa Rosa Dam,New Mexico,BOR,-104.688235,35.02896,,plrt,272.8507623,148611000,train
1092,Nimrod,Arkansas,ACE_LIT,-93.16166,34.95283,7827790,plrt,29.2061651,533709527.3,val
1093,Wister Lake,Oklahoma,DUKE,-94.720417,34.94125,6043008,plrt,33.23355027,705789000,train
1095,Altus,Oklahoma,BOR,-99.29375,34.889583,13756271,plrt,1842.714306,174661000,val
1101,Arkabutla Dam,Mississippi,ACE_VIC,-90.122793,34.756146,15252778,plrt,53.39311902,913794000,train
1109,Sumner,New Mexico,BOR,-104.387083,34.612083,20818104,plrt,84.78978759,52953000,train
1112,Blakely Mountain Dam,Arkansas,ACE_VIC,-93.195081,34.574105,15231972,plrt,616.0530481,3303090000,train
1120,Waurika Lake,Oklahoma,DUKE,-98.05608,34.239978,8357843,plrt,566.4350452,454206000,train
1121,Degray Dam,Arkansas,ACE_VIC,-93.110417,34.216058,22000120,plrt,400.2913702,1036612000,train
1122,Gillham,Arkansas,ACE_LIT,-94.22875,34.212083,3745418,plrt,36.59138251,232757676,train
1123,Broken Bow Lake,Oklahoma,,-94.684583,34.149583,630011,gdrom,333.683,1695243168,test
1124,Dierks,Arkansas,DUKE,-94.099583,34.149583,3745478,plrt,91.02744122,104727000,train
